U_In-5p,U_Sb-5p,Eg(eV)
-2.73,3.8,0.23417795691432297
-2.72,3.8,0.23537313759697498
-2.71,3.8,0.2365777037975696
-2.71,3.79,0.23333850193188854
-2.7,3.79,0.23453644709227728
-2.69,3.79,0.2357343922556645
-2.68,3.79,0.236932337414678
-2.68,3.78,0.23369313555576843
-2.67,3.78,0.23490672015226044
-2.66,3.78,0.2361082418010776
-2.66,3.77,0.23287351309424675
-2.65,3.77,0.23407503474381164
-2.64,3.77,0.23528397233814013
-2.63,3.77,0.23649720913905958
-2.63,3.76,0.2332467975423297
-2.62,3.76,0.23446003434099816
-2.61,3.76,0.2356635938881677
-2.6,3.76,0.23688130084692083
-2.6,3.75,0.23363704529117635
-2.59,3.75,0.23485475224426555
-2.58,3.75,0.23607245920566067
-2.58,3.74,0.23282820365425394
-2.57,3.74,0.23404591060934588
-2.56,3.74,0.23527478011081537
-2.55,3.74,0.23649631605745336
-2.55,3.73,0.23325585884480682
-2.54,3.73,0.2344773947947144
-2.53,3.73,0.23569893074389214
-2.52,3.73,0.23693500896553155
-2.52,3.72,0.23370020078819442
-2.51,3.72,0.23492515699783145
-2.5,3.72,0.23614243663559575
-2.5,3.71,0.23290653746180512
-2.49,3.71,0.23413610889613667
-2.48,3.71,0.23536568033046823
-2.47,3.71,0.2365952517600718
-2.47,3.7,0.23334959705198943
-2.46,3.7,0.23458774973085927
-2.45,3.7,0.23582590240872403
-2.44,3.7,0.237064055086589
-2.44,3.69,0.2338232965353675
-2.43,3.69,0.2350614492119678
-2.42,3.69,0.2362996018908392
-2.42,3.68,0.23306188164744546
-2.41,3.68,0.23430618952843818
-2.4,3.68,0.2355504974097158
-2.39,3.68,0.23679480528944152
-2.39,3.67,0.23355080121377403
-2.38,3.67,0.23479510909199686
-2.37,3.67,0.2359971207458893
-2.37,3.66,0.23277255532698615
-2.36,3.66,0.23398850358017387
-2.35,3.66,0.2352220611985898
-2.34,3.66,0.23645561880657073
-2.34,3.65,0.23321477785252376
-2.33,3.65,0.2344483354594077
-2.32,3.65,0.23568189306629184
-2.31,3.65,0.2369396190623162
-2.31,3.64,0.2337004774653847
-2.3,3.64,0.23493580931474456
-2.29,3.64,0.2361711411550974
-2.29,3.63,0.23293199957154975
-2.28,3.63,0.2341673314207927
-2.27,3.63,0.23544531092569976
-2.26,3.63,0.23668926502103727
-2.26,3.62,0.2334572973195983
-2.25,3.62,0.23470096785286776
-2.24,3.62,0.23594463838111923
-2.23,3.62,0.23718830892156673
-2.23,3.61,0.2339603134471273
-2.22,3.61,0.23520398397488107
-2.21,3.61,0.23646116054642585
-2.21,3.6,0.23322476512804646
-2.2,3.6,0.23448551583549482
-2.19,3.6,0.23574626653936093
-2.18,3.6,0.23700701721708917
-2.18,3.59,0.23377062183992692
-2.17,3.59,0.23503137251894568
-2.16,3.59,0.23630515573120348
-2.16,3.58,0.23306426520833412
-2.15,3.58,0.23434424081640626
-2.14,3.58,0.23562421642730946
-2.13,3.58,0.23690419203043556
-2.13,3.57,0.23367340627332278
-2.12,3.57,0.23495687996051906
-2.11,3.57,0.23624035364536589
-2.11,3.56,0.232998884102123
-2.1,3.56,0.2342846143225189
-2.09,3.56,0.2355703445416567
-2.08,3.56,0.23685607476719472
-2.08,3.55,0.23362264883881012
-2.07,3.55,0.234908379060784
-2.06,3.55,0.23619593592817067
-2.06,3.54,0.23296590610347234
-2.05,3.54,0.23425504963220645
-2.04,3.54,0.23554419315811392
-2.03,3.54,0.23683333669251772
-2.03,3.53,0.2336033068627894
-2.02,3.53,0.2349017976311496
-2.01,3.53,0.23619320753679152
-2.01,3.52,0.2329592724257048
-2.0,3.52,0.23425400387298323
-1.99,3.52,0.23554873531920262
-1.98,3.52,0.2368434667656527
-1.98,3.51,0.23361778299151337
-1.97,3.51,0.23491251444028172
-1.96,3.51,0.23621317334696879
-1.96,3.5,0.23298530094052983
-1.95,3.5,0.23428523639604326
-1.94,3.5,0.23558517184936878
-1.93,3.5,0.23688510730176937
-1.93,3.49,0.23365723489948498
-1.92,3.49,0.23495717035313202
-1.91,3.49,0.2362794910319559
-1.91,3.48,0.23304592458955709
-1.9,3.48,0.23435506745262347
-1.89,3.48,0.23566421032057328
-1.88,3.48,0.23697335318982637
-1.88,3.47,0.2337566920407812
-1.87,3.47,0.23507173534940962
-1.86,3.47,0.23638677865404079
-1.86,3.46,0.2331442963350573
-1.85,3.46,0.234462679320661
-1.84,3.46,0.23578106230614182
-1.83,3.46,0.2370994452964118
-1.83,3.45,0.23386890369442093
-1.82,3.45,0.23518728668193023
-1.81,3.45,0.23650951011592136
-1.81,3.44,0.23328305238629077
-1.8,3.44,0.2346055469309637
-1.79,3.44,0.23592804147194224
-1.78,3.44,0.23725053602599389
-1.78,3.43,0.23402407829517602
-1.77,3.43,0.23540060137862917
-1.76,3.43,0.23673472199891954
-1.76,3.42,0.23345991787417852
-1.75,3.42,0.23480732234158241
-1.74,3.42,0.23615472681449534
