U_Ga-4p,U_Sb-5p,a(A),Eg(eV),meff
3.2,1.1,5.99449685258958,0.8084244737621442,0.14739893713381366
3.25,1.1,5.9921232703319784,0.8200862241303861,0.1484704461059379
3.25,1.05,5.993757711282918,0.8064694373792021,0.14752406138235
3.3,1.05,5.991288779838992,0.8185095147014867,0.14863330919839063
3.3,1.0,5.992925186787651,0.8049056283982504,0.14768566954513765
3.35,1.0,5.990453814066839,0.816970773606852,0.14880183002073497
3.35,0.95,5.992089166066569,0.8033932584937125,0.14785413549845963
3.4,0.95,5.989621200144384,0.815461839926815,0.1489751447487263
3.4,0.9,5.9912534526420815,0.8019192105065489,0.14802826046823667
3.45,0.9,5.988825381476194,0.813853356409162,0.14914192969608
3.45,0.85,5.990455269667841,0.8003405814976947,0.14819540039305903
3.5,0.85,5.9879873259474685,0.812444018763498,0.14932902013032257
3.55,0.85,5.985523816289639,0.8245490442964807,0.1504767539684305
3.55,0.8,5.987151687968389,0.8110650091198626,0.14952129526851668
3.6,0.8,5.984688246793336,0.8231879409291831,0.15067577448958563
3.6,0.75,5.986314147386912,0.8097338134160975,0.14972030986417414
3.65,0.75,5.9838504708010785,0.8218761974507924,0.1508817347638616
3.65,0.7,5.985480511973015,0.8084284310175724,0.14992416733197683
3.7,0.7,5.983017285563372,0.8205857291544619,0.1510922714758875
3.7,0.65,5.984644266028254,0.8071728767715931,0.15013512568321669
3.75,0.65,5.98218480648027,0.8193339380830826,0.1513089950066076
3.75,0.6,5.983793189830967,0.8060146399134422,0.15035761875762926
3.8,0.6,5.981330217215072,0.8182067900034333,0.151539992757885
3.8,0.55,5.982928916289719,0.8049506776631127,0.15059156976572322
3.85,0.55,5.980463954099855,0.8171656487526268,0.15178184694601285
3.85,0.5,5.982074401053583,0.8038821328057141,0.15082783914856476
3.9,0.5,5.979614235762225,0.816098687661605,0.15202404360369226
3.9,0.45,5.981236445264357,0.8027966534103963,0.15106515378585259
3.95,0.45,5.9787784537763775,0.8150224206767099,0.15226800729147516
3.95,0.4,5.980397976233332,0.8017526295202058,0.1513091399577224
4.0,0.4,5.977941733535588,0.8139881985183369,0.1525191108517936
4.0,0.35,5.9795612311878665,0.8007436032975446,0.1515592464497043
4.05,0.35,5.977106253781734,0.8129918162638993,0.15277644021990722
4.05,0.3,5.978728180106625,0.7997559759901549,0.1518144222378443
4.1,0.3,5.976275317027761,0.8120118333567331,0.15303879217477792
4.15,0.3,5.9738301606859245,0.8242590839083931,0.15427821636028763
4.15,0.25,5.975444817689567,0.8110718767639956,0.15330780629992205
4.2,0.25,5.973002475492395,0.8233278917645727,0.1545543173597418
4.2,0.2,5.974616115692735,0.8101695180455043,0.1535832018622991
4.25,0.2,5.972177270581763,0.8224300714383648,0.1548367166695445
4.25,0.15,5.973788644600904,0.809304473447894,0.15386525023382228
4.3,0.15,5.971348224427343,0.8215890645109486,0.15512780656666797
4.3,0.1,5.9729608121677975,0.8084977056021092,0.15415504450255693
4.35,0.1,5.970523203939082,0.8207846986841236,0.15542538989940002
4.35,0.05,5.972132938898272,0.8077187449915594,0.154451852879644
4.4,0.05,5.969697462401218,0.8200158779155565,0.15573016431836378
4.4,0.0,5.971307241781948,0.8069731638891363,0.15475525617828853
4.45,0.0,5.968873483123135,0.8192817281860733,0.15604176901382424
4.45,-0.05,5.970482635017507,0.8062585603160634,0.15506572674758315
4.5,-0.05,5.9680530335196895,0.8185741219368436,0.15635936085127627
4.5,-0.1,5.969656908271223,0.8055951354258338,0.15538402318289615
4.55,-0.1,5.967230822638465,0.8179149225143033,0.15668543231760526
4.55,-0.15,5.968834190724604,0.8049488124972423,0.15570858762453169
4.6,-0.15,5.966410597716628,0.8172776672946572,0.1570183787991334
4.6,-0.2,5.968015703043003,0.80434898674302,0.15604009197744628
4.65,-0.2,5.9655948628653555,0.8166917337570196,0.15735869878059833
4.65,-0.25,5.967195443224367,0.8038083684075701,0.1563795627787658
4.7,-0.25,5.964778305077464,0.8161230090155254,0.15770582359032614
4.7,-0.3,5.96637747722325,0.8032561155390784,0.1567248880567309
4.75,-0.3,5.963960251961185,0.8156138258856425,0.15806089704115225
4.75,-0.35,5.965564605584661,0.8027538256557454,0.1570771828945882
4.8,-0.35,5.963151468966212,0.8151137796562615,0.15842149628898877
4.8,-0.4,5.964753230470767,0.8022861481029667,0.157436988443558
4.85,-0.4,5.962342120492941,0.8146557680165369,0.15879049969236836
4.85,-0.45,5.963943616163644,0.8018534901033393,0.15780426162389743
4.9,-0.45,5.961535342170824,0.8142295647332383,0.15916671091112197
4.9,-0.5,5.963137765516112,0.8014462819096408,0.15817816778350724
4.95,-0.5,5.960731060198316,0.8138348567376329,0.15955027772935718
4.95,-0.55,5.9623323231493925,0.8010810716590554,0.1585603164024326
5.0,-0.55,5.9599285320159305,0.8134766333281098,0.15994174005345438
5.0,-0.6,5.961528211925103,0.8007526274914665,0.15895034065960859
5.05,-0.6,5.959126795340121,0.8131577551732506,0.1603415318188423
5.05,-0.65,5.9607256342955015,0.8004602033289177,0.15934828962546038
5.1,-0.65,5.9583278158429325,0.8128700590431152,0.16074892329064674
5.1,-0.7,5.959926067412038,0.8001992514441406,0.15975383015808606
5.15,-0.7,5.9575304476066115,0.8126179257416077,0.16116444997356744
5.15,-0.75,5.959127117635017,0.7999776197606042,0.1601678842506119
5.2,-0.75,5.956734619858816,0.8124025932220046,0.16158838912389575
5.2,-0.8,5.95833062519458,0.7997906783999355,0.1605899701049293
5.25,-0.8,5.955941711984616,0.8122215264177985,0.1620204378878341
5.25,-0.85,5.9575361042923864,0.7996412334807799,0.16102051576359522
5.3,-0.85,5.955152799588754,0.8120694879772463,0.16246018026021627
5.3,-0.9,5.956743357492096,0.7995271016629825,0.16145940533775507
5.35,-0.9,5.954363725571904,0.8119590902071617,0.16290918456103828
5.4,-0.9,5.951994241933787,0.8243696512658824,0.1643788780025476
5.4,-0.95,5.953576388551227,0.8118830323458024,0.16336685410673235
5.45,-0.95,5.951211553831468,0.8242952483706538,0.1648466388872073
5.45,-1.0,5.952792100686571,0.8118369258513224,0.16383260199649516
5.5,-1.0,5.950354778361709,0.8245439550184762,0.16535593378585178
5.5,-1.05,5.95193672677131,0.8121048783880089,0.16433819933418425
5.55,-1.05,5.949574664987265,0.8245417010674817,0.16584212596939163
5.55,-1.1,5.951155879597922,0.8121283052476433,0.16482187834259313
5.55,-1.15,5.952741459169773,0.7997240543495605,0.16380980102075327
5.6,-1.15,5.950376983935236,0.812187173362143,0.16531475203582163
5.6,-1.2,5.951962539083309,0.7998087014846207,0.16430004294060457
5.65,-1.2,5.949600241393956,0.8122811939507598,0.1658167431366412
5.65,-1.25,5.951184670330517,0.7999302795260216,0.16479959592928708
5.7,-1.25,5.948826175316895,0.8124055349007223,0.16632760904922922
5.7,-1.3,5.950408646546061,0.8000872405412494,0.1653085260883271
5.75,-1.3,5.948055157362908,0.8125630586320043,0.1668478567610445
5.75,-1.35,5.949634972085513,0.800278002133799,0.16582680169127756
5.8,-1.35,5.947285898518636,0.81275358049847,0.16737757290733327
5.8,-1.4,5.94886363737522,0.8005030128578519,0.16635435076255023
5.85,-1.4,5.946518236331856,0.812981782572205,0.16791717480843493
5.85,-1.45,5.948095643961273,0.8007569774049474,0.16689105941921717
5.9,-1.45,5.945753717682269,0.8132396391457104,0.16846616362213743
5.9,-1.5,5.947329343273385,0.8010454554350126,0.16743770412984735
5.95,-1.5,5.944990704008412,0.8135349661246342,0.16902535224750007
5.95,-1.55,5.946564742098688,0.8013707877045102,0.16799428426375193
6.0,-1.55,5.944231604373582,0.8138576299618221,0.1695939222643269
6.0,-1.6,5.945803285400556,0.8017262841151407,0.16856060291888827
6.05,-1.6,5.9434748151214984,0.814214126855791,0.17017259491707984
6.05,-1.65,5.945044521813269,0.8021134409246143,0.16913652669556578
6.1,-1.65,5.942722582426301,0.8145945101497531,0.17076050232233442
6.1,-1.7,5.944288581134884,0.8025343264198651,0.16972281015269203
6.15,-1.7,5.941971262838379,0.8150146865487955,0.17135945731932453
6.15,-1.75,5.943535120878874,0.8029872759773928,0.17031912035220312
6.2,-1.75,5.941220824831343,0.8154748883736664,0.17196972563767438
6.2,-1.8,5.9427860576038904,0.8034667949657577,0.170925048520685
6.25,-1.8,5.940474945303636,0.8159598094494985,0.17258975701353615
6.25,-1.85,5.942038262555171,0.8039843768458154,0.17154233885638834
6.3,-1.85,5.939731310989223,0.8164788629579082,0.17322064026395603
6.3,-1.9,5.941291253974985,0.8045404579130349,0.17217087916048626
6.35,-1.9,5.938989525845839,0.8170339936728601,0.1738628165685455
6.35,-1.95,5.940548333004043,0.8051262934099904,0.17281031677775202
6.4,-1.95,5.938249739200812,0.8176254406338513,0.17451697902500166
6.4,-2.0,5.939805693552002,0.8057512801032749,0.17346133299710725
6.45,-2.0,5.937512975420992,0.818246420341447,0.17518167606875598
6.45,-2.05,5.939070597990251,0.806391817178181,0.17412118934436924
