U_Ga-4p,U_As-4p,Eg(eV)
-4.84,6.28,1.51864760354221
-4.83,6.28,1.519899997280917
-4.82,6.28,1.5211819594068605
-4.82,6.27,1.5178177224804124
-4.81,6.27,1.5190765055123534
-4.8,6.27,1.5203261411589322
-4.8,6.26,1.5169595117786727
-4.79,6.26,1.5182235916124576
-4.78,6.26,1.519487671627006
-4.77,6.26,1.5207517511946442
-4.77,6.25,1.5173493335478343
-4.76,6.25,1.5186317994455174
-4.75,6.25,1.5199142653431408
-4.74,6.25,1.5211967312470682
-4.74,6.24,1.5178168856418441
-4.73,6.24,1.5190993515298739
-4.72,6.24,1.5203818174254724
-4.72,6.23,1.5170069243076907
-4.71,6.23,1.5182959453197056
-4.7,6.23,1.5195849663163905
-4.69,6.23,1.5208739871812065
-4.69,6.22,1.5174903426446846
-4.68,6.22,1.5187793633693232
-4.67,6.22,1.520082375495034
-4.67,6.21,1.5166967188327631
-4.66,6.21,1.5179669364273054
-4.65,6.21,1.5192630279765327
-4.64,6.21,1.5205591194135226
-4.64,6.2,1.517163742853258
-4.63,6.2,1.5184598343854172
-4.62,6.2,1.5197559259193454
-4.61,6.2,1.5210529198734797
-4.61,6.19,1.5176581878464497
-4.6,6.19,1.5189549253914802
-4.59,6.19,1.5202516629242733
-4.59,6.18,1.5168569309307172
-4.58,6.18,1.5181536684632018
-4.57,6.18,1.5195253829981294
-4.56,6.18,1.5208368961981025
-4.56,6.17,1.5174381435222166
-4.55,6.17,1.5187548775619035
-4.54,6.17,1.5200716115147836
-4.54,6.16,1.5166906214027562
-4.53,6.16,1.518007355347232
-4.52,6.16,1.5193240893024118
-4.51,6.16,1.5206354871509735
-4.51,6.15,1.5172415634255296
-4.5,6.15,1.518575917524471
-4.49,6.15,1.5199102716572406
-4.48,6.15,1.521244625299687
-4.48,6.14,1.5178507023368593
-4.47,6.14,1.5191850564346179
-4.46,6.14,1.5204872386372763
-4.46,6.13,1.5171001523048657
-4.45,6.13,1.5184359415034634
-4.44,6.13,1.5197717306609841
-4.43,6.13,1.5211075198145725
-4.43,6.12,1.5176977737362642
-4.42,6.12,1.5190253442306765
-4.41,6.12,1.520352914676089
-4.41,6.11,1.5169839636044862
-4.4,6.11,1.5183107815303662
-4.39,6.11,1.5196375993141058
-4.38,6.11,1.5209644171687433
-4.38,6.1,1.517593548285229
-4.37,6.1,1.5189203661246236
-4.36,6.1,1.520273136427197
-4.36,6.09,1.5168968203176716
-4.35,6.09,1.518218218817048
-4.34,6.09,1.519539617308864
-4.33,6.09,1.5208610157320344
-4.33,6.08,1.5174846997599873
-4.32,6.08,1.5188186347908055
-4.31,6.08,1.520142800672846
-4.31,6.07,1.516760223145944
-4.3,6.07,1.51808778027501
-4.29,6.07,1.5194153373443435
-4.28,6.07,1.5207428945213541
-4.28,6.06,1.5173676975300552
-4.27,6.06,1.5186952546012293
-4.26,6.06,1.5200271918116055
-4.26,6.05,1.5166487067602303
-4.25,6.05,1.5179825255542476
-4.24,6.05,1.5193163443726876
-4.23,6.05,1.520650163178818
-4.23,6.04,1.5172716780386106
-4.22,6.04,1.5186054969398874
-4.21,6.04,1.5199526207506633
-4.2,6.04,1.5212925369029482
