U_In-5p,U_As-4p,Eg(eV)
-0.7,3.18,0.41706401446294117
-0.69,3.18,0.4181706026886023
-0.69,3.17,0.4148623144477801
-0.68,3.17,0.4159824233173225
-0.67,3.17,0.41710253218727344
-0.66,3.17,0.4182226410568094
-0.66,3.16,0.41490888016606153
-0.65,3.16,0.4160294826046801
-0.64,3.16,0.4171500850436669
-0.63,3.16,0.418270687490667
-0.63,3.15,0.4149585590095102
-0.62,3.15,0.41607916145285817
-0.61,3.15,0.4172087999716302
-0.6,3.15,0.41833263834316237
-0.6,3.14,0.415023673420006
-0.59,3.14,0.4161475117947835
-0.58,3.14,0.41727135018564343
-0.57,3.14,0.4183951885685928
-0.57,3.13,0.41510350416695496
-0.56,3.13,0.41623121628546933
-0.55,3.13,0.41735892840565336
-0.54,3.13,0.4184866405258374
-0.54,3.12,0.41518768712152854
-0.53,3.12,0.4163244895385426
-0.52,3.12,0.41746129195212145
-0.51,3.12,0.41859809435984086
-0.51,3.11,0.41526900412034884
-0.5,3.11,0.41641076961779144
-0.49,3.11,0.41755253511092005
-0.48,3.11,0.4186943006043681
-0.48,3.1,0.41538237113733156
-0.47,3.1,0.4165241366314282
-0.46,3.1,0.41766838110051563
-0.45,3.1,0.4188125008385557
-0.45,3.09,0.41550291481105894
-0.44,3.09,0.4166470345508205
-0.43,3.09,0.41779115428828195
-0.42,3.09,0.41893527402689135
-0.42,3.08,0.41563518956367906
-0.41,3.08,0.41678146814672845
-0.4,3.08,0.417927746734709
-0.39,3.08,0.419074025319389
-0.39,3.07,0.41577145447445796
-0.38,3.07,0.41692498491817065
-0.37,3.07,0.41807851536277874
-0.36,3.07,0.41923204580387385
-0.36,3.06,0.4159160132928148
-0.35,3.06,0.4170714398150688
-0.34,3.06,0.41822686633649064
-0.34,3.05,0.41491716230829057
-0.33,3.05,0.4160725888287382
-0.32,3.05,0.4172280153510388
-0.31,3.05,0.4183870361025207
-0.31,3.04,0.4150802429334396
-0.3,3.04,0.41623859684052444
-0.29,3.04,0.4173969507474178
-0.28,3.04,0.41855530465571156
-0.28,3.03,0.41524851148968744
-0.27,3.03,0.41641676625923396
-0.26,3.03,0.41757742200938397
-0.25,3.03,0.418738077755753
-0.25,3.02,0.41543608219994443
-0.24,3.02,0.41659752481312406
-0.23,3.02,0.41776561413970126
-0.22,3.02,0.41893370346627834
-0.22,3.01,0.4156218268757921
-0.21,3.01,0.41679128714191227
-0.2,3.01,0.41796123227197124
-0.19,3.01,0.4191311774038353
-0.19,3.0,0.4158267011649208
-0.18,3.0,0.41699664629388566
-0.17,3.0,0.4181665914228505
-0.17,2.99,0.4148667702578821
-0.16,2.99,0.4160395227669257
-0.15,2.99,0.41721227527620997
-0.14,2.99,0.4183850277862683
-0.14,2.98,0.4150833304526973
-0.13,2.98,0.41625608296025185
-0.12,2.98,0.4174363904389464
-0.11,2.98,0.41861102373809345
-0.11,2.97,0.4153158804289214
-0.1,2.97,0.41649051372807533
-0.09,2.97,0.41766712840465436
-0.08,2.97,0.4188485593267136
-0.08,2.96,0.415544363345302
-0.07,2.96,0.4167257942720304
-0.06,2.96,0.4179079503778864
-0.05,2.96,0.41909119079463053
-0.05,2.95,0.41579350903862133
-0.04,2.95,0.41697674945331775
-0.03,2.95,0.41815998986802594
-0.03,2.94,0.4148623081171259
-0.02,2.94,0.4160455485262827
-0.01,2.94,0.41723548295818524
0.0,2.94,0.4184215035138835
0.0,2.93,0.415126585399609
0.01,2.93,0.416312605955794
0.02,2.93,0.41749862651330505
0.03,2.93,0.41872273340112887
0.03,2.92,0.4154316070488946
0.04,2.92,0.4166256059126384
0.05,2.92,0.4177978595064096
0.06,2.92,0.4190001100272005
0.06,2.91,0.4156954053175794
0.07,2.91,0.41689765583878924
0.08,2.91,0.4180999063602642
0.08,2.9,0.41478436779172967
