U_Ga-4p,U_As-4p,Eg(eV)
-1.37,4.77,1.5172150873844896
-1.36,4.77,1.5188571898383776
-1.35,4.77,1.5204581671135966
-1.35,4.76,1.5171021987034663
-1.34,4.76,1.5187329510959129
-1.33,4.76,1.5203190805194402
-1.33,4.75,1.516938728949153
-1.32,4.75,1.518576087209832
-1.31,4.75,1.520213445758336
-1.31,4.74,1.516833094111607
-1.3,4.74,1.5184704525825117
-1.29,4.74,1.5201168496686293
-1.29,4.73,1.5167366870845929
-1.28,4.73,1.5184153789484678
-1.27,4.73,1.5200940708579045
-1.27,4.72,1.5167139100265328
-1.26,4.72,1.5183926013876272
-1.25,4.72,1.5200648198039444
-1.25,4.71,1.5166519928794804
-1.24,4.71,1.518333012491563
-1.23,4.71,1.5201701927568485
-1.23,4.7,1.5168336716356068
-1.22,4.7,1.5184829599074927
-1.21,4.7,1.520132248628599
-1.21,4.69,1.516795727956089
-1.2,4.69,1.5184450158051497
-1.19,4.69,1.5199895131685117
-1.19,4.68,1.516654018011125
-1.18,4.68,1.5183317099909392
-1.17,4.68,1.5200094019710104
-1.17,4.67,1.5166739068126955
-1.16,4.67,1.5183515987689133
-1.15,4.67,1.5199824162460212
-1.15,4.66,1.5166595436159827
-1.14,4.66,1.5183207630556783
-1.13,4.66,1.5201480544784207
-1.13,4.65,1.5169012149472885
-1.12,4.65,1.5185237999183387
-1.11,4.65,1.5201463848207137
-1.11,4.64,1.5168995453426917
-1.1,4.64,1.5185221304000165
-1.09,4.64,1.5201912101218842
-1.09,4.63,1.5169441443224185
-1.08,4.63,1.5185903288185163
-1.07,4.63,1.5202365133529692
-1.07,4.62,1.5169894476049108
-1.06,4.62,1.5186356320219665
-1.05,4.62,1.5202082141100672
-1.05,4.61,1.5170427410957723
-1.04,4.61,1.5186547984705752
-1.03,4.61,1.520264260861779
-1.03,4.6,1.5170929857135504
-1.02,4.6,1.5187012372136475
-1.01,4.6,1.5203094887030575
-1.01,4.59,1.5171382136589222
-1.0,4.59,1.5187464650535167
-0.99,4.59,1.5204279458579606
-0.99,4.58,1.5172561239494584
-0.98,4.58,1.5188741736311693
-0.97,4.58,1.520492223276215
-0.97,4.57,1.5173204012778472
-0.96,4.57,1.5189384510208694
-0.95,4.57,1.520523522433402
-0.95,4.56,1.5173786933477873
-0.94,4.56,1.5189827361518813
-0.93,4.56,1.5205960814339115
-0.93,4.55,1.5174482756567387
-0.92,4.55,1.5190432244162277
