U_In-5p,U_Sb-5p,a(A),Eg(eV),meff
-0.05,2.65,6.508556548910056,0.2336339339286996,0.014108897593888023
0.0,2.65,6.506200288556134,0.24145065682311267,0.014566144363515072
0.0,2.6,6.508232611942084,0.22575656165157704,0.013664177810680961
0.05,2.6,6.505900821177075,0.23351639337919533,0.014119282583341056
0.1,2.6,6.503534320542838,0.2413805243359343,0.014580068391243007
0.1,2.55,6.505679428698837,0.22540653010478368,0.013660652511579167
0.15,2.55,6.50329847180414,0.2333163117951003,0.014125460724827931
0.2,2.55,6.500917156583882,0.2412392773384742,0.01459063000139305
0.2,2.5,6.502999642507188,0.22545656521976198,0.013681046775684838
0.25,2.5,6.500610272590781,0.23341236517006875,0.014149315802041061
0.3,2.5,6.498226542724051,0.24136298908718395,0.01461667330024503
0.3,2.45,6.500413416196583,0.22531741036605474,0.013691451421585312
0.35,2.45,6.497948444640437,0.23349830725466938,0.0141732956362926
0.4,2.45,6.495508631106679,0.2416193975235445,0.01465156484955394
0.4,2.4,6.497609530427812,0.22583290701549588,0.013739983747690282
0.45,2.4,6.4951800396098776,0.23393674879571852,0.014218281885074678
0.5,2.4,6.492716904014735,0.24214334402393034,0.014702190075542316
0.5,2.35,6.494862699787532,0.22625499243146316,0.013784025360532675
0.55,2.35,6.492373802854633,0.23454133782926936,0.014273714235825028
0.6,2.35,6.4899448255943915,0.24267806374255257,0.01475417088595168
0.6,2.3,6.492022307943264,0.22699852740370915,0.013847129941944746
0.65,2.3,6.4895829356796275,0.23517162299078104,0.014331044265627346
0.7,2.3,6.487142095146747,0.24336130394736605,0.01481545687796594
0.7,2.25,6.489213695464929,0.2277225878054386,0.013909640653125343
0.75,2.25,6.486758670676081,0.23595787860261616,0.014398168663062533
0.8,2.25,6.484298039040909,0.24422063102758634,0.014887859318138519
0.8,2.2,6.486367793139606,0.2286093415331021,0.013982777336091747
0.85,2.2,6.483887150757169,0.23693394777570687,0.014477578377090801
0.9,2.2,6.48135672100488,0.24540892500655972,0.014980549588160775
0.9,2.15,6.483455955204333,0.22974123491798992,0.014071046431973867
0.95,2.15,6.480963049275573,0.23812302997132162,0.014569766953805715
1.0,2.15,6.478467995535394,0.24652273148718437,0.015069230293625183
1.0,2.1,6.480529064501004,0.2309810595013674,0.014166404292235524
1.05,2.1,6.47802424545444,0.23941470780394924,0.01466934890947921
1.05,2.05,6.48009097247439,0.2238868530955176,0.01376425624790946
1.1,2.05,6.477575303245544,0.23235746225087817,0.014271027988658884
1.15,2.05,6.475091328919923,0.24075799869157663,0.014772677812704275
1.15,2.0,6.477201660411918,0.22513381626970072,0.013861201089663093
1.2,2.0,6.474556425563926,0.2339814812994512,0.014390707037438557
1.25,2.0,6.471986564216426,0.24263889732392252,0.014908296756706881
1.25,1.95,6.474007382807296,0.22728113952099518,0.014011719067397701
1.3,1.95,6.471574016254788,0.23557321112412152,0.014509482979081487
1.35,1.95,6.469031362787369,0.24417729365057553,0.015025072061292978
1.35,1.9,6.4710865707254035,0.22874960582881576,0.014123417541938238
1.4,1.9,6.4685356068473325,0.23738561883070455,0.014642371356883545
1.45,1.9,6.4659852458296205,0.24603100285360233,0.015161489965573954
1.45,1.85,6.468041369021237,0.23062380213078967,0.014260239714651624
1.5,1.85,6.465481404227005,0.23930505164278648,0.014782956926465026
