U_Ga-4p,U_Sb-5p,Eg(eV)
-0.88,4.27,0.8105077203407139
-0.87,4.27,0.8128707511166056
-0.87,4.26,0.8099556777887973
-0.86,4.26,0.8123187087824257
-0.85,4.26,0.813749618290768
-0.85,4.25,0.8111658910347047
-0.84,4.25,0.8133362198684171
-0.84,4.24,0.8107524904294909
-0.83,4.24,0.8129228214418991
-0.83,4.23,0.8100985330367124
-0.82,4.23,0.8122479842635814
-0.81,4.23,0.8143974358349216
-0.81,4.22,0.8115546658090212
-0.8,4.22,0.8137041168759898
-0.8,4.21,0.8110765767150254
-0.79,4.21,0.8132039849131963
-0.79,4.2,0.8101138705762632
-0.78,4.2,0.8122412787795498
-0.77,4.2,0.8143686869828364
-0.77,4.19,0.8114128935308091
-0.76,4.19,0.8134330062468015
-0.76,4.18,0.8104222440929455
-0.75,4.18,0.8124423568027291
-0.74,4.18,0.814462469522893
-0.74,4.17,0.8114542559494647
-0.73,4.17,0.813476510556379
-0.73,4.16,0.8104701753725713
-0.72,4.16,0.8124924299848264
-0.72,4.15,0.8094860948234311
-0.71,4.15,0.8115083494163035
-0.7,4.15,0.8135419355831851
-0.7,4.14,0.8105386781079486
-0.69,4.14,0.8125632969704046
-0.69,4.13,0.8095600394952821
-0.68,4.13,0.8115848144107688
-0.67,4.13,0.813611359465881
-0.67,4.12,0.81061249153777
-0.66,4.12,0.8126390365859775
-0.66,4.11,0.8096401686558902
-0.65,4.11,0.8116747360164533
-0.64,4.11,0.8137041387112691
-0.64,4.1,0.8107091300646483
-0.63,4.1,0.8127385327535452
-0.63,4.09,0.8097435240957527
-0.62,4.09,0.8117729267976663
-0.61,4.09,0.8138067558195569
-0.61,4.08,0.8108033490655253
-0.6,4.08,0.8128440044583597
-0.6,4.07,0.8098405977089097
-0.59,4.07,0.8118883540866971
-0.58,4.07,0.813930681707189
-0.58,4.06,0.8109325948512771
-0.57,4.06,0.8129749224681231
-0.57,4.05,0.8099768356065986
-0.56,4.05,0.8120191632310882
-0.55,4.05,0.8140731657231781
-0.55,4.04,0.8110801583857761
-0.54,4.04,0.8131246613365386
-0.54,4.03,0.8101316539986563
-0.53,4.03,0.8121791412117831
-0.52,4.03,0.8142248181159262
-0.52,4.02,0.8112370415340955
-0.51,4.02,0.8132827184463353
-0.51,4.01,0.8102949418595837
-0.5,4.01,0.8123451043164573
-0.49,4.01,0.814393130209231
-0.49,4.0,0.8114101997827571
-0.48,4.0,0.8134582256709237
-0.48,3.99,0.8104676936876529
-0.47,3.99,0.8125203752176829
-0.47,3.98,0.8095352947638721
-0.46,3.98,0.8115879762913578
-0.45,3.98,0.8136406578177178
-0.45,3.97,0.8106555773670898
-0.44,3.97,0.8127141621714127
-0.44,3.96,0.8097249252061745
-0.43,3.96,0.8117880398837782
-0.42,3.96,0.8138511545501041
-0.42,3.95,0.8108619175974787
-0.41,3.95,0.8129250322691138
-0.41,3.94,0.8099405961971453
-0.4,3.94,0.8120069287118934
-0.39,3.94,0.8140732612261353
-0.39,3.93,0.8110823983568837
-0.38,3.93,0.8131494068285849
-0.38,3.92,0.8101616492956082
-0.37,3.92,0.8122293490424053
-0.36,3.92,0.8142970487877129
-0.36,3.91,0.8113092912444634
-0.35,3.91,0.8133842987638398
-0.35,3.9,0.8103991740667262
-0.34,3.9,0.8124689555731616
-0.34,3.89,0.8094838308705997
-0.33,3.89,0.8115536123786369
-0.32,3.89,0.8136225520657515
-0.32,3.88,0.8106421507114181
-0.31,3.88,0.8127129112322612
-0.31,3.87,0.8097325098813676
-0.3,3.87,0.8118032703998639
-0.29,3.87,0.8139071690851123
-0.29,3.86,0.8109325198168438
-0.28,3.86,0.8130116382037074
-0.28,3.85,0.8100369889395829
-0.27,3.85,0.8121161073284471
-0.26,3.85,0.8142162566014077
-0.26,3.84,0.8112273012523246
-0.25,3.84,0.8133256052794561
-0.25,3.83,0.8103366499238385
-0.24,3.83,0.8124349539520083
-0.23,3.83,0.8145303287786936
-0.23,3.82,0.8115488957827691
-0.22,3.82,0.8136518467966154
-0.22,3.81,0.8106704138025691
-0.21,3.81,0.8127733648349396
-0.21,3.8,0.8097735296979218
-0.2,3.8,0.8118690049058184
-0.19,3.8,0.8139644801208831
-0.19,3.79,0.8109912751850575
-0.18,3.79,0.8130867503689039
-0.18,3.78,0.8101226958004099
