U_Ga-4p,U_As-4p,a(A),Eg(eV),meff
-0.65,4.4,5.625913342723608,1.5156657642319868,0.07317464884480145
-0.6,4.4,5.624138976428587,1.524193872286983,0.0735453412291792
-0.6,4.35,5.625500733645117,1.5075378780552706,0.07290632878523018
-0.55,4.35,5.623651022569152,1.5163828816066534,0.07329074583390861
-0.5,4.35,5.621807180730819,1.525212854170123,0.07367443522176664
-0.5,4.3,5.623184868805776,1.5085059776201024,0.07303357166588126
-0.45,4.3,5.62134434534272,1.517329124010097,0.07341824978237514
-0.4,4.3,5.619503289621784,1.526163465644729,0.07380324129038489
-0.4,4.25,5.620877194156682,1.509486906312998,0.07316373105930726
-0.35,4.25,5.619046038628741,1.5182871385327035,0.0735486694230133
-0.3,4.25,5.617209211249324,1.527119707566961,0.07393480345110719
-0.3,4.2,5.618598906631784,1.5103932156803734,0.07329340772837367
-0.25,4.2,5.616760760614616,1.5192376624213861,0.07368132066249261
-0.2,4.2,5.614912785545718,1.5281320807620409,0.07407111239922101
-0.2,4.15,5.61629031201444,1.511470638247281,0.07343241452606021
-0.15,4.15,5.614421235703072,1.520380228508685,0.07382525882565925
-0.1,4.15,5.6125424939920565,1.5294179071522154,0.07422197353768491
-0.1,4.1,5.613905349057017,1.5128318487000656,0.07358643210035244
-0.05,4.1,5.612012847298426,1.521933561839191,0.07398700959576562
0.0,4.1,5.610363363068071,1.530037838774991,0.07434805234669653
0.0,4.05,5.611489573541783,1.5144469580163133,0.07375208849679069
0.05,4.05,5.609835375368955,1.5225780656683385,0.07411542570878676
0.05,4.0,5.610973017067825,1.5069567231821046,0.0735171351930847
0.1,4.0,5.609303476024785,1.5151589141571467,0.07388453244965128
0.15,4.0,5.607443633705675,1.52415747267677,0.074283626551277
0.15,3.95,5.608622075399365,1.5083833446937485,0.0736794558291319
0.2,3.95,5.606839768754043,1.5170683454863445,0.07406732584739863
0.25,3.95,5.605008559617025,1.5259645851173822,0.07446361128289028
0.25,3.9,5.606436509535085,1.5091719057210036,0.073818984672206
0.3,3.9,5.604631297124868,1.517967087157718,0.07421264385342796
0.35,3.9,5.602436417592284,1.5283890806372173,0.07467111305034897
0.35,3.85,5.603770284790048,1.512001300233567,0.07404292375684607
0.4,3.85,5.602020465131494,1.5205840397387753,0.0744293791984737
0.45,3.85,5.600153551141795,1.5296605649924853,0.07483563602988294
0.45,3.8,5.60148004775675,1.5133199466488583,0.07420939128587789
